date,AAPL_value,AAPL_momentum,AAPL_quality,MSFT_value,MSFT_momentum,MSFT_quality,NVDA_value,NVDA_momentum,NVDA_quality,AMD_value,AMD_momentum,AMD_quality,BA_value,BA_momentum,BA_quality,HON_value,HON_momentum,HON_quality,LMT_value,LMT_momentum,LMT_quality,JPM_value,JPM_momentum,JPM_quality,XOM_value,XOM_momentum,XOM_quality,PEP_value,PEP_momentum,PEP_quality
2021-01-04,0.242032,0.081306,0.096012,-0.082624,-0.128654,-0.000062,0.429599,-0.016935,0.139652,-0.015901,-0.031343,0.247307,-0.040370,-0.191521,-0.271843,-0.029878,0.127834,-0.101736,-0.190491,-0.100503,0.123328,-0.096495,-0.209033,-0.207182,-0.144515,0.041770,-0.133490,0.213801,-0.031723,0.485142
2021-01-05,0.235522,0.084410,0.100725,-0.069193,-0.156124,0.006261,0.441037,-0.014323,0.140495,-0.019615,-0.037257,0.235724,-0.023505,-0.181745,-0.264052,-0.019273,0.126085,-0.096140,-0.213941,-0.066520,0.107596,-0.114331,-0.220978,-0.215756,-0.159716,0.049664,-0.120218,0.179987,-0.042466,0.497577
2021-01-06,0.278177,0.079987,0.092598,-0.062254,-0.171393,0.024914,0.444735,-0.000262,0.150205,-0.013376,-0.048235,0.220535,-0.018972,-0.173929,-0.285262,-0.035044,0.110827,-0.073530,-0.210479,-0.088381,0.114641,-0.104146,-0.221558,-0.215625,-0.175373,0.025118,-0.118292,0.164747,-0.033344,0.507495
2021-01-07,0.303255,0.078165,0.090244,-0.070210,-0.134020,0.049977,0.441333,0.018378,0.137645,-0.044591,-0.056742,0.217400,-0.007036,-0.157084,-0.259570,-0.030693,0.104591,-0.057735,-0.149404,-0.078596,0.146032,-0.100418,-0.204910,-0.216333,-0.151061,0.031892,-0.131811,0.189037,-0.039525,0.459691
2021-01-08,0.301468,0.071045,0.110445,-0.061882,-0.156417,0.061069,0.432279,-0.013125,0.120024,-0.028356,-0.083644,0.185878,0.058233,-0.133015,-0.278552,-0.039373,0.100320,-0.092329,-0.140593,-0.106044,0.146985,-0.098312,-0.237269,-0.233672,-0.119362,-0.022581,-0.112703,0.189993,-0.056545,0.433499
2021-01-09,0.289110,0.058655,0.125842,-0.071129,-0.115957,0.058644,0.446786,-0.024227,0.127470,-0.007890,-0.085591,0.178225,0.049146,-0.119730,-0.288929,-0.045837,0.106002,-0.098446,-0.106389,-0.100556,0.135362,-0.092515,-0.226084,-0.230140,-0.130674,-0.040637,-0.122441,0.221311,-0.046245,0.414733
2021-01-10,0.290469,0.055597,0.113608,-0.091426,-0.117555,0.051913,0.399242,0.007312,0.077685,-0.002449,-0.098055,0.175705,0.057538,-0.119788,-0.313776,-0.057432,0.083472,-0.086253,-0.109530,-0.094437,0.139336,-0.082890,-0.214246,-0.215741,-0.149320,-0.052180,-0.121874,0.227640,-0.060559,0.397764
2021-01-11,0.256717,0.039334,0.108129,-0.095476,-0.158072,0.036262,0.370233,-0.030206,0.093267,0.008914,-0.089174,0.180501,0.049051,-0.119242,-0.310280,-0.037428,0.120983,-0.078962,-0.125961,-0.091554,0.157380,-0.132450,-0.175784,-0.219465,-0.142395,-0.047699,-0.085015,0.232259,-0.067673,0.388213
2021-01-12,0.239010,0.025019,0.103988,-0.127970,-0.168515,0.042784,0.368867,-0.048428,0.077862,-0.001923,-0.095764,0.189594,0.049443,-0.127527,-0.333505,-0.017798,0.122118,-0.080772,-0.156452,-0.083943,0.151604,-0.113929,-0.169391,-0.222028,-0.152004,-0.025531,-0.132361,0.181863,-0.032003,0.398747
2021-01-13,0.243288,0.003566,0.130541,-0.058504,-0.165238,0.043249,0.361674,-0.055733,0.087151,-0.037031,-0.099799,0.186537,0.017792,-0.135078,-0.330895,-0.037740,0.068621,-0.117608,-0.111238,-0.093444,0.219092,-0.138642,-0.188086,-0.253240,-0.166175,-0.068623,-0.122361,0.179111,-0.010613,0.395602
