date,AAPL,MSFT,NVDA,AMD,BA,HON,LMT,JPM,XOM,PEP
2021-01-04,-0.016823,-0.027210,-0.030445,-0.025647,-0.006852,-0.013671,-0.016229,0.001088,0.002315,-0.026752
2021-01-05,0.005253,-0.004046,0.008361,-0.019938,0.014420,-0.013528,-0.011740,-0.005637,0.025921,-0.009837
2021-01-06,-0.000922,0.011885,0.004726,0.016598,-0.002605,-0.003599,0.021644,-0.007318,0.019424,0.024957
2021-01-07,0.012309,-0.016765,-0.022663,-0.004918,0.004307,-0.013716,0.011493,0.025551,-0.000709,-0.005220
2021-01-08,0.031764,0.010338,-0.000632,0.020260,-0.018407,-0.008082,0.025243,0.005979,0.011977,0.013074
2021-01-09,-0.004799,0.019041,0.024041,0.033510,0.004093,0.003479,-0.002711,0.016282,-0.020560,0.011384
2021-01-10,0.003295,-0.013911,-0.015885,-0.001018,0.005687,0.001399,0.002240,0.023686,-0.022098,-0.014555
2021-01-11,0.006073,-0.010142,0.014716,-0.008277,0.008907,0.007056,-0.000142,-0.003813,0.015367,-0.010424
2021-01-12,0.000553,-0.010814,-0.005825,0.009742,-0.008381,0.002409,0.007342,0.009069,-0.024537,-0.030484
2021-01-13,-0.001761,-0.027519,-0.009896,-0.017900,0.002052,-0.012901,-0.021855,-0.015823,-0.001921,-0.026027
2021-01-14,0.010608,0.001677,0.008168,0.023496,0.011780,-0.013093,-0.000705,0.013062,-0.010188,0.002677
2021-01-15,-0.028887,-0.008247,-0.004990,-0.027551,0.004896,-0.016908,-0.007464,-0.008255,-0.011506,-0.012199
2021-01-16,0.018805,0.025328,0.012055,-0.002262,-0.000209,-0.002311,0.020838,-0.008341,0.010210,-0.005289
2021-01-17,-0.016263,-0.007046,-0.008276,-0.015236,-0.001535,0.000186,-0.022562,-0.003721,-0.011330,-0.013492
2021-01-18,0.008577,-0.006918,-0.031495,0.012664,0.008054,-0.000917,-0.002616,0.029523,0.018194,0.004476
2021-01-19,0.019576,0.003072,0.003069,0.007337,0.007417,0.006665,0.016310,0.007088,0.007277,0.013627
2021-01-20,0.012124,0.014181,0.009463,0.041628,0.007112,-0.007100,0.022362,0.022069,0.010233,0.024851
2021-01-21,0.003570,0.005034,0.012246,-0.013586,-0.001997,-0.013933,-0.007474,-0.008039,-0.006234,-0.004199
2021-01-22,-0.013853,-0.010355,-0.014448,0.011566,-0.005272,0.005755,-0.000900,0.018833,-0.003925,-0.007669
2021-01-23,-0.011635,-0.017267,0.005038,0.004143,0.006190,0.019754,0.015628,0.005337,0.006284,0.020367
2021-01-24,-0.021263,-0.013465,-0.001467,-0.019524,-0.025661,-0.017935,-0.031394,-0.040430,-0.027629,-0.013180
2021-01-25,-0.006500,0.011852,0.026294,0.009008,-0.000241,0.018701,0.007820,0.015583,0.000138,-0.014393
2021-01-26,0.015799,0.006786,0.006665,-0.008189,0.016701,-0.004460,0.008436,0.036647,0.023748,-0.003313
2021-01-27,0.016155,0.030007,0.008394,0.009483,-0.005604,0.009480,0.024509,0.025896,0.001743,0.003455
2021-01-28,0.013392,0.014411,-0.006073,0.004126,0.012336,0.013439,0.007980,0.019362,0.005914,0.000550
2021-01-29,0.009573,-0.002860,-0.002361,0.024821,0.008825,0.001891,-0.011988,0.006307,-0.006000,-0.004770
2021-01-30,-0.007611,0.031327,-0.011326,0.014034,0.017061,0.000220,0.012786,0.012152,0.014299,0.007420
2021-01-31,0.008644,0.004470,0.013009,0.028227,0.013193,-0.006278,0.010778,-0.002742,0.014595,0.024022
2021-02-01,0.002599,0.026009,0.000096,0.012219,-0.007550,0.002857,0.016877,0.004579,0.001217,0.015007
2021-02-02,0.016920,-0.009314,0.013493,0.006518,0.005104,0.002390,-0.018938,0.000280,-0.018090,0.007028
2021-02-03,0.000631,-0.014145,-0.001456,-0.015274,0.015669,-0.015557,-0.006216,-0.010830,0.006482,-0.014309
2021-02-04,-0.006071,-0.015077,-0.034624,-0.027105,0.012496,-0.001439,-0.010295,0.015818,-0.014917,-0.022679
2021-02-05,0.028464,0.007757,0.021293,0.022578,0.002229,-0.006118,0.003480,0.029429,0.015005,0.002730
2021-02-06,-0.030043,-0.010437,-0.026194,-0.018380,-0.010930,-0.004762,-0.011082,-0.031265,-0.033092,-0.025413
2021-02-07,-0.009852,0.014249,0.027041,-0.014793,-0.016813,0.001886,0.001402,-0.027458,-0.010997,-0.013505
2021-02-08,0.008356,0.010113,0.013097,0.009508,-0.003537,0.002949,-0.003069,-0.005306,-0.019531,0.003250
2021-02-09,0.012985,0.019395,0.005912,0.034417,0.015397,-0.007671,0.004688,0.010690,0.001662,0.006945
2021-02-10,0.008538,0.020959,0.032260,0.008740,0.014621,0.021921,0.028588,0.014459,0.017878,0.021494
2021-02-11,0.013949,0.000358,0.032996,-0.012784,0.023923,0.000737,0.010257,0.031020,0.018467,-0.009430
2021-02-12,0.000625,-0.002267,-0.000601,0.013970,-0.005951,-0.016632,0.012360,-0.017133,0.003505,0.003282
2021-02-13,0.024677,0.013672,0.017563,-0.018111,-0.000655,0.015894,-0.002784,-0.014904,0.021024,0.015971
